Account Name,No. of Employees,Website,HQ Billing Country,Billing State/Province,Billing City,Billing Street,Billing Zip/Postal Code,Industry,LinkedIn Company Id,Account LinkedIn URL,Core Account Fit Tier
Busy Bee Cleaning Service,95,bbcleaningservice.com,,New York,New York,1133 Broadway,10010,Janitorial Services,5104922,https://www.linkedin.com/company/busy-bee-cleaning-service,Tier 1
Halozyme,96,elektrofi.com,,Massachusetts,Boston,,2210,Biotechnology,,https://www.linkedin.com/company/elektrofi,Tier 1
Autobooks,100,autobooks.co,,Michigan,Detroit,1555 Broadway Street,48226,Financial Services,10344444,https://www.linkedin.com/company/autobooks-co,Tier 1
???? ??? Jeel Platform,101,jeelapp.com,,New York,-,,,Entertainment Providers,12987814,https://www.linkedin.com/company/thejeelapp,Tier 1
Touchstorm,103,touchstorm.com,,Virginia,Midlothian,450 Lexington Avenue,10017,Advertising Services,1085010,http://www.linkedin.com/company/touchstorm,Tier 1
SimplyHome,103,simplyrent.com,,Texas,Houston,13141 Northwest Fwy,77040,Real Estate,,https://www.linkedin.com/company/simplyhome,Tier 1
Fraunhofer USA,104,fraunhofer.org,,Michigan,East Lansing,44792 Helm St,48824,Research Services,,https://www.linkedin.com/company/fraunhofer-usa,Tier 1
S+S Industries,113,ssind.com,,Texas,,,,Electric Power Generation,,https://www.linkedin.com/company/s-sindustries,Tier 1
Show Masters Production Logistics,119,showmasters.com,,Texas,Fort Worth,,,Events Services,52520256,https://www.linkedin.com/company/show-masters-production-logistics-inc.,Tier 1
Jack Gaughen Realtor Era Camp Hill Pa,123,coldwellbankerhomes.com,,Pennsylvania,Camp Hill,,,Real Estate Agents and Brokers,852397,https://www.linkedin.com/company/jack-gaughen-realtor-era-camp-hill-pa,Tier 1
Seekr Technologies,126,seekr.com,,Virginia,Vienna,109 Ludlow Street,10002,Technology Information and Internet,74321156,https://www.linkedin.com/company/seekrtechnologies,Tier 1
Midocean Partners,130,midoceanpartners.com,,New York,New York,245 Park Avenue,10029,Trusts and Estates,60113,https://www.linkedin.com/company/midocean-partners,Tier 1
Roots,147,roots.ai,,New York,,,,Software Development,,https://www.linkedin.com/company/roots-automation,Tier 1
Pathfinder Bank,151,pathfinderbank.com,,New York,Oswego,West 1st Street,13126,Banking,94286,https://www.linkedin.com/company/pathfinder-bank,Tier 1
RMG Networks Holding Corporation,161,gokorbyt.com,,Texas,Addison,15301 Dallas Pkwy Ste 500,,Software Development,,https://www.linkedin.com/company/korbyt,Tier 1
Flex,164,www.flex.one,,Florida,Richmond,,,Financial Services,,https://www.linkedin.com/company/flex-super-app,Tier 1
Arena AI,166,arena-ai.com,,New York,New York,33 Irving Place,10003,Software Development,35670183,https://www.linkedin.com/company/arena-ai/,Tier 1
FundGuard,177,fundguard.com,,New York,New York,430 Park Avenue,10022,Financial Services,33262287,https://www.linkedin.com/company/fundguard,Tier 1
Icon,199,iconplc.com,,Massachusetts,Marlborough,Castletroy V94 8n76,d18 x5r3,Pharmaceutical Manufacturing,2246404,https://www.linkedin.com/company/aptiv-solutions,Tier 1
Visionary Integration Professionals,213,trustvip.com,,California,Reston,2001 Edmund Halley Dr,20191,Strategic Management Services,201227,https://www.linkedin.com/company/visionary-integration-professionals-vip-,Tier 1
Vault Insurance,237,vaultinsurance.com,,New York,,,,Insurance,,https://www.linkedin.com/company/vaultinsurance,Tier 1
Beacon Credit Union,283,beaconcu.org,,Indiana,Wabash,South Wabash Street,46992,Banking,5537930,https://www.linkedin.com/company/beacon-credit-union,Tier 1
Home Access Health,500,everlyhealth.com,,Illinois,Hoffman Estates,Hassell Road,60169,Medical and Diagnostic Laboratories,134663,https://www.linkedin.com/company/home-access-health-corporation,Tier 1
FACEBANK,1,facebank.pr,,Puerto Rico,Guaynabo,,,Banking,2126179,https://www.linkedin.com/company/facebankinternational,Tier 2
Monroe Public Schools,1,monroe.k12.mi.us,,Michigan,Monroe,,48162-3196,School Districts (elementary or secondary),,https://www.linkedin.com/company/monroe-wa-schools,Tier 2
Duval Landscape Maintenance,2,duvallandscape.com,,Florida,Jacksonville,7011 Business Park Blvd N,32256,Facilities Services,,https://www.linkedin.com/company/duval-landscape-maintenance,Tier 2
Enterprise Properties,3,enterprise-properties.com,,Nebraska,Omaha,10220 F St,68108,Building Structure and Exterior Contractors,739333,https://www.linkedin.com/company/enterprise-properties-inc,Tier 2
Tbg The Bachrach Group,6,bachrachgroup.com,,New York,New York,1430 Broadway,10018,Staffing and Recruiting,38117,https://www.linkedin.com/company/the-bachrach-group,Tier 2
Nyc Digital Solutions,9,nycdigitalsolutions.net,,Virginia,Alexandria,5214 Dover Place,22311,IT Services and IT Consulting,,https://www.linkedin.com/company/nyc-digital-solutions,Tier 2
EuroBank,12,eurobankfl.com,,Florida,,,,Banking,1507114,https://www.linkedin.com/company/eurobank.,Tier 2
National Education Foundation,14,nationaleducationfoundation.org,,Virginia,McLean,1350 Beverly Rd Apt 219,22101,E-Learning Providers,309543,https://www.linkedin.com/company/national-education-foundation,Tier 2
iCivics,20,icivics.org,,Massachusetts,Cambridge,1035 Cambridge Street,2141,E-Learning Providers,1163485,https://www.linkedin.com/company/icivics,Tier 2
"Baron Capital Group, Inc.",22,www.baroncapitalgroup.com,,New York,New York,767 5th Avenue,10153,Investment Management,,https://www.linkedin.com/company/baron-capital/,Tier 2
