Account Name,No. of Employees,Website,HQ Billing Country,Billing State/Province,Billing City,Billing Street,Billing Zip/Postal Code,Industry,LinkedIn Company Id,Account LinkedIn URL,Core Account Fit Tier
Kudu Dynamics,115,kududyn.com,,Virginia,Chantilly,14425 Penrose Place,20151,Data Security Software Products,3527553,https://www.linkedin.com/company/kudu-dynamics-llc,Tier 2
Bloomin Blinds,116,bloominblinds.com,,Texas,Plano,1411 Lemay Drive,75007,Mattress and Blinds Manufacturing,69846142,https://www.linkedin.com/company/bloomin-blinds,Tier 2
Proverbs 31 Ministries,117,proverbs31.org,,North Carolina,Matthews,PO Box 3189,28106,Religious Institutions,885970,https://www.linkedin.com/company/proverbs-31-ministries,Tier 2
One Equity Partners,117,oneequity.com,,New York,New York,"510 Madison Avenue, 19th Floor,",10022,Investment Management,47363,https://www.linkedin.com/company/one-equity-partners,Tier 2
TotalTek,118,totaltek.com,,Florida,Appleton,221 W College Ave,54911,IT Services and IT Consulting,35662849,https://www.linkedin.com/company/totaltekinc/,Tier 2
Allegheny Millwork,118,alleghenymillwork.com,,Pennsylvania,Lawrence,104 Commerce Boulevard,15203,Construction,2241883,https://www.linkedin.com/company/allegheny-millwork,Tier 2
Peachtree Presbyterian Church,118,peachtreechurch.com,,Georgia,,,,Religious Institutions,528067,https://www.linkedin.com/company/peachtreechurch,Tier 2
"MHF Design Consultants, Inc.",120,mhfdesign.com,,New Hampshire,Salem,44 Stiles Rd Ste 1,,Media Production,,https://www.linkedin.com/company/greenman-pedersen-inc-,Tier 2
Networks Presentations,122,networkstours.com,,Maryland,Columbia,,,Theater Companies,263898,https://www.linkedin.com/company/networks-presentations,Tier 2
Guardian Property Management,123,guardianprop.com,,Minnesota,Saint Paul,"708 Cleveland Ave SW, #160",55112,Real Estate,1443379,https://www.linkedin.com/company/guardian-property-management,Tier 2
Dallas Regional Chamber,124,dallaschamber.org,,Texas,Dallas,500 North Akard Street,75201,Industry Associations,23974,https://www.linkedin.com/company/dallas-regional-chamber,Tier 2
Vsa Partners,125,vsapartners.com,,Illinois,Chicago,"600 W Chicago Ave, Ste 250",60654,Design Services,17358,https://www.linkedin.com/company/vsa-partners,Tier 2
PVEDI,125,pve-llc.com,,Pennsylvania,Sewickley,Ste. 101 2000 Georgetowne Dr.,15143,Civil Engineering,5206871,https://www.linkedin.com/company/pvedi-ae/,Tier 2
MK Marketing,125,mkmarketing.biz,,Florida,Stuart,3322 Southeast Gran Park Way,34997,Advertising Services,76860358,https://www.linkedin.com/company/mk-marketing-stuart,Tier 2
Pingree School,125,pingree.org,,Massachusetts,Hamilton,537 Highland Street,1982,Primary and Secondary Education,119755,https://www.linkedin.com/company/pingreeschool,Tier 2
Emory Impact Investing Group,126,emoryimpactinvesting.com,,Georgia,Atlanta,,,Financial Services,18071758,https://www.linkedin.com/company/emoryimpactinvestinggroup,Tier 2
Sealy Management,127,sealyrealty.com,,Alabama,Tuscaloosa,1200 Greensboro Avenue,35401,Real Estate,9239099,https://www.linkedin.com/company/sealy-management-co-inc-,Tier 2
Assist Healthcare Staffing,128,nursestaffing.com,,Georgia,Blue Ridge,2800 Scenic Drive,30513,Temporary Help Services,3561636,https://www.linkedin.com/company/assist-healthcare-staffing,Tier 2
Transport Enterprise Leasing,129,tel360.com,,Tennessee,Greater Chattanooga,400 Birmingham Hwy Ste 350,37419,Truck Transportation,6831429,https://www.linkedin.com/company/transport-enterprise-leasing-llc/,Tier 2
Stellar Innovations & Solutions,130,stellar-innovations.com,,Ohio,Moraine,3131 Elbee Road,45439,IT Services and IT Consulting,8989385,https://www.linkedin.com/company/stellar-innovations-&-solutions-inc-,Tier 2
JBS Dev,130,jbs.dev,,New York,Chadds Ford Township,610 Chadds Ford Dr,19317,IT System Custom Software Development,,https://www.linkedin.com/company/jbssolutions,Tier 2
Deep Centered Mental Health,130,deepcentered.com,,Texas,,,,Mental Health Care,,https://www.linkedin.com/company/deep-eddy-psychotherapy,Tier 2
Guild For Exceptional Children,131,gecbklyn.org,,New York,Brooklyn,260 68th Street,11220,Individual and Family Services,11787751,https://www.linkedin.com/company/the-guild-for-exceptional-children,Tier 2
Wheelhouse,131,choosewheelhouse.com,,Texas,,,,Entertainment Providers,,https://www.linkedin.com/company/wheel-house-llc,Tier 2
Remington Medical,132,remmed.com,,Georgia,Alpharetta,6830 Meadowridge Court,30005,Medical Equipment Manufacturing,322706,https://www.linkedin.com/company/remington-medical-inc,Tier 2
Nespon Solutions,133,nespon.com,,Texas,Grapevine,2300 Valley View Lane,76051,IT System Training and Support,74747280,https://www.linkedin.com/company/nesponsolutions,Tier 2
Tba Credit Union,133,tbacu.com,,Michigan,Traverse City,630 East Front Street,49686,Banking,2680925,https://www.linkedin.com/company/tba-credit-union,Tier 2
Human Coalition,135,humancoalition.org,,Texas,Plano,5052  PO BOX,75024,Education Administration Programs,10407098,https://www.linkedin.com/company/human-coalition,Tier 2
Case Consulting,135,consultwithcase.com,,Virginia,Leesburg,18425 RUSTLING WOODS Ct.,,IT System Testing and Evaluation,2558032,https://www.linkedin.com/company/case-consulting-inc,Tier 2
Dental Medical Careers,135,dental-careers.com,,Texas,Frisco,,,Staffing and Recruiting,55174840,https://www.linkedin.com/company/dental-careers-inc,Tier 2
Wilkinson Barker Knauer,138,wbklaw.com,,District of Columbia,Washington,2300 N Street Northwest #700,20037,Law Practice,61374,https://www.linkedin.com/company/wilkinson-barker-knauer-llp,Tier 2
Mount Pisgah Christian School,138,mountpisgahschool.org,,Georgia,Johns Creek,9820 Nesbit Ferry Road,30022,Education,,https://www.linkedin.com/company/mount-pisgah-christian-school,Tier 2
Flexday Solutions LLC,139,flexdaysolutions.com,,Illinois,Naperville,,60563,Software Development,74234365,https://www.linkedin.com/company/flexdaysolutions,Tier 2
Kodeco,139,kodeco.com,,Virginia,McGaheysville,1882 Hawksbill Rd,22840,E-Learning Providers,2590045,https://www.linkedin.com/company/kodecodev,Tier 2
NRCC,140,nrcc.org,,District of Columbia,Washington,320 First Street Southeast,20036,Political Organizations,165112,https://www.linkedin.com/company/national-republican-congressional-committee,Tier 2
Legends Bank,140,legendsbank.com,,Tennessee,Clarksville,North 1st Street,37040,Banking,1267843,https://www.linkedin.com/company/legends-bank,Tier 2
Reefpoint Group,140,reefpointgroup.com,,Maryland,Annapolis,115 West Street,21401,Business Consulting and Services,11760932,https://www.linkedin.com/company/reefpointgroup,Tier 2
Sanders Team Realty,141,sandersteamrealty.com,,Georgia,Woodstock,625 Molly Lane,30189,Real Estate Agents and Brokers,7199006,https://www.linkedin.com/company/sanders-team-realty,Tier 2
Octdaily,141,octdaily.com,,Massachusetts,Cambridge,183 Palm Beach Plantation Blvd,33411,IT Services and IT Consulting,,https://www.linkedin.com/company/octdaily,Tier 2
Vivanti Consulting,143,vivanti.com,,New York,New York,,,IT Services and IT Consulting,76186518,https://www.linkedin.com/company/vivanti-consulting/,Tier 2
Erbe USA,144,www.erbe-usa.com,,Georgia,Atlanta,2225 Northwest Pkwy,30067,Medical Equipment Manufacturing,696710,https://www.linkedin.com/company/erbe-usa-inc.,Tier 2
NeuroScience,144,neuroscienceinc.com,,Wisconsin,Knoxville,,,Wellness and Fitness Services,120361,https://www.linkedin.com/company/neuroscience,Tier 2
Lutheran Church Extension Fund Lcef,146,lcef.org,,Missouri,St Louis,10733 Sunset Office Drive,63127,Religious Institutions,117023,https://www.linkedin.com/company/lutheran-church-extension-fund-lcef,Tier 2
Ld Systems,146,ldsystems.com,,Texas,,,,Events Services,302138,https://www.linkedin.com/company/ldsystemsusa,Tier 2
Jewish Federation of Metropolitan Detroit,146,jewishdetroit.org,,Michigan,Bloomfield Hills,,,Civic and Social Organizations,49273,https://www.linkedin.com/company/jewish-federation-of-metropolitan-detroit,Tier 2
Visit San Antonio,147,visitsanantonio.com,,Texas,San Antonio,317 Alamo Plaza,78205,Travel Arrangements,121084,https://www.linkedin.com/company/visitsanantonio,Tier 2
NCT,148,nationalcabletechs.com,,North Carolina,Charlotte,,,Telecommunications,1138004,https://www.linkedin.com/company/nct,Tier 2
Argus Consulting,149,argusconsulting.com,,Kansas,Leawood,6363 College Boulevard,66211,Oil and Gas,140984,https://www.linkedin.com/company/argus-consulting,Tier 2
Psychotherapy Networker,150,psychotherapynetworker.org,,District of Columbia,Washington,,,Book and Periodical Publishing,1774592,https://www.linkedin.com/company/psychotherapy-networker,Tier 2
American Roofing & Metal Company,150,americanroofingonline.com,,Kentucky,Louisville,4610 Roofing Road,40218,Building Structure and Exterior Contractors,1702452,https://www.linkedin.com/company/american-roofing-&-metal,Tier 2
Asset Based Lending,150,ablfunding.com,,New Jersey,Jersey City,30 Montgomery St Ste 215,7301,Real Estate,,https://www.linkedin.com/company/asset-based-lending-llc,Tier 2
National Checking Company,150,ncco.com,,Minnesota,Saint Paul,899 Montreal Way,,Food and Beverage Services,,https://www.linkedin.com/company/ncco,Tier 2
River Falls Manufacturing Co Inc,150,ctsllc.com,,Massachusetts,Fall River,40 County St,,IT Services and IT Consulting,,https://www.linkedin.com/company/controlled-technical-services-llc,Tier 2
Clarium,154,clarium.tech,,Florida,Pembroke Pines,1000 North Hiatus Road,33026,Data Security Software Products,2052643,https://www.linkedin.com/company/clarium-managed-services,Tier 2
Dvsport,154,dvsport.com,,Pennsylvania,Pittsburgh,1 Penn Center West,15276,Software Development,2009602,https://www.linkedin.com/company/dvsport-inc.,Tier 2
Sree Infotech,156,sreeinfotech.com,,Texas,Irving,1825 West Walnut Hill Lane,75038,IT Services and IT Consulting,823961,https://www.linkedin.com/company/sree-infotech-llc,Tier 2
EDC,156,edcweb.com/,,Missouri,Columbia,,,Building Construction,950756,https://www.linkedin.com/company/edcgc,Tier 2
Treetops Resort,156,treetops.com,,Michigan,Gaylord,3962 Wilkinson Road,49735,Golf Courses and Country Clubs,1643734,https://www.linkedin.com/company/treetops-resort,Tier 2
Contractors,156,contractorsinc.com,,Tennessee,Memphis,4777 Westerville Road,43231,Building Structure and Exterior Contractors,,https://www.linkedin.com/company/contractors-inc,Tier 2
Legacy Early College,157,legacyearlycollege.org,,South Carolina,Greenville,900 Woodside Avenue,29611,Education Administration Programs,22296732,https://www.linkedin.com/company/legacyearlycollege/insights/,Tier 2
Stronghold Investment Management,159,strongholdim.com,,Texas,Dallas,,75201,Investment Management,15264231,https://www.linkedin.com/company/strongholdim,Tier 2
Zuckerman Spaeder,161,zuckerman.com,,District of Columbia,Washington,"1800 M St NW, Ste 1000",20036,Law Practice,23898,https://www.linkedin.com/company/zuckerman-spaeder-llp,Tier 2
North American Properties,162,naproperties.com,,Ohio,Cincinnati,212 East 3rd Street,45202,Real Estate,293843,https://www.linkedin.com/company/north-american-properties,Tier 2
Capital Electric Construction,162,capitalelectric.com,,Kansas,Kansas City,,,Building Equipment Contractors,821413,https://www.linkedin.com/company/capital-electric-construction-company-inc.,Tier 2
Investor Group Services (IGS),162,igsinsights.com,,Massachusetts,,,,Business Consulting and Services,,https://www.linkedin.com/company/investor-group-services-igs,Tier 2
Pitco,164,pitco.com,,New Hampshire,Bow,509 New Hampshire 3A,3304,Food and Beverage Services,1958126,https://www.linkedin.com/company/pitco,Tier 2
Harrington Hoists,165,harringtonhoists.com,,Pennsylvania,Manheim,401 W End Ave,17545,Machinery Manufacturing,1056669,https://www.linkedin.com/company/harringtonhoist,Tier 2
HumanIT,166,humanit.us,,Ohio,Dayton,4058 Colonel Glenn Hwy,45431,Information Services,10915272,https://www.linkedin.com/company/humanit-solutions/,Tier 2
National Student Leadership Conference,167,nslcleaders.org,,District of Columbia,"Washington, D.C.",400 New Jersey Avenue Northwest,20003,Professional Training and Coaching,963844,https://www.linkedin.com/company/national-student-leadership-conference,Tier 2
Burkert USA,167,burkert-usa.com,,North Carolina,Huntersville,11425 Mount Holly-Huntersville Road,28078,Metal Valve Ball and Roller Manufacturing,98529,https://www.linkedin.com/company/burkertusacorp,Tier 2
Hi-crush Blair,168,hicrushinc.com,,Texas,Houston,2777 Allen Pkwy Ste 600,77019,Oil and Gas,7121659,https://www.linkedin.com/company/hi-crush-proppants,Tier 2
Avl Technologies,168,avltech.com,,North Carolina,Asheville,15 North Merrimon Ave.,28802,Satellite Telecommunications,2180303,https://www.linkedin.com/company/avl-technologies,Tier 2
Association To Benefit Children,169,a-b-c.org,,New York,New York,419 East 86th Street,10028,Cable and Satellite Programming,14008657,https://www.linkedin.com/company/association-to-benefit-children,Tier 2
Gibson Electric,170,gibsonelec.com,,Illinois,Downers Grove,3100 Woodcreek Dr.,60515,Building Equipment Contractors,1712783,https://www.linkedin.com/company/gibson-electric-&-technology-solutions,Tier 2
Severn School,170,severnschool.com,,Maryland,Severna Park,201 Water Street,21146,Education Administration Programs,,https://www.linkedin.com/company/severn-school,Tier 2
Raymond,176,raymondllc.com,,Georgia,,,,Architecture and Planning,,https://www.linkedin.com/company/raymond-engineering-georgia-llc,Tier 2
Institute of Scrap Recycling Industries,177,isri.org,,District of Columbia,Washington,1250 I Street Northwest,20036,Wholesale Recyclable Materials,563629,https://www.linkedin.com/company/institute-of-scrap-recycling-industries-inc--isri-,Tier 2
"FRONTLINE PUBLIC SAFETY SOLUTIONS, LLC",177,frontlinepss.com,,Illinois,Lombard,55 W 22Nd St Ste 112,,Software Development,,https://www.linkedin.com/company/frontline-public-safety-solutions,Tier 2
Independent Living Services,179,indliving.org,,Arkansas,Conway,615 East Robins Street,72032,Services for the Elderly and Disabled,2086333,https://www.linkedin.com/company/independent-living-services-inc.,Tier 2
Pittsburg Tank & Tower Group,181,pttg.com,,Kentucky,Henderson,1 Watertank Pl,42420,Construction,16238716,https://www.linkedin.com/company/pttg,Tier 2
Hubtek,185,gohubtek.com,,Florida,Miami,78 SW 7th St,33130,Technology Information and Internet,35466166,https://www.linkedin.com/company/hubtek,Tier 2
Ksm Electronics,185,ksmelectronics.com,,Florida,Fort Lauderdale,5607 Hiatus Rd,33321,Appliances Electrical and Electronics Manufacturing,409742,https://www.linkedin.com/company/ksm-electronics-inc,Tier 2
Flexan,191,flexan.com,,Illinois,Lincolnshire,500 Bond Street,60069,Rubber Products Manufacturing,3583235,https://www.linkedin.com/company/flexanllc,Tier 2
Philadelphia Fight,192,fight.org,,Pennsylvania,Philadelphia,1233 Locust Street,19107,Non-profit Organizations,119681,https://www.linkedin.com/company/philadelphia-fight,Tier 2
Memphis School Of Excellence,194,sememphis.org,,Tennessee,Memphis,,,Education,,https://www.linkedin.com/company/sememphis,Tier 2
Inceed,195,inceed.com,,Oklahoma,Tulsa,907 South Detroit Avenue,74120,Staffing and Recruiting,40783,https://www.linkedin.com/company/inceed,Tier 2
Arag Legal Insurance,197,araglegal.com,,Iowa,Des Moines,500 Grand Ave,50327,Insurance,1587511,https://www.linkedin.com/company/arag-legal,Tier 2
Syracuse University School Of Information Studies,198,ischool.syr.edu,,New York,Syracuse,,,Higher Education,27187417,https://www.linkedin.com/company/ischoolsu,Tier 2
North Carolina Education Lottery,198,nclottery.com,,North Carolina,Raleigh,PO Box 41606,27603,Entertainment Providers,,https://www.linkedin.com/company/north-carolina-education-lottery,Tier 2
Ramco Specialties,200,ramcospecialties.com,,Ohio,Hudson,5369 Hudson Dr,44236,Motor Vehicle Manufacturing,4357759,https://www.linkedin.com/company/ramco-specialties-inc,Tier 2
Coastal Pet Products,200,coastalpet.com,,Ohio,Alliance,911 Leadway Ave,44601,Manufacturing,261008,https://www.linkedin.com/company/coastal-pet-products-inc-,Tier 2
Center For Emotional Health,201,cehcharlotte.com,,North Carolina,Charlotte,,,Mental Health Care,1278061,https://www.linkedin.com/company/centerforemotionalhealth,Tier 2
Samuel & Sons,201,samuelandsons.com,,New York,Baton Rouge,983 3rd Avenue,70801,Textile Manufacturing,1374769,https://www.linkedin.com/company/samuel-&-sons-passementerie,Tier 2
Marketer Tips,202,chasedimond.com,,District of Columbia,Los Angeles,12655 West Jefferson Boulevard,90066,Media Production,,https://www.linkedin.com/company/marketer-tips,Tier 2
Ptr Baler and Compactor Company,203,ptrco.com,,Pennsylvania,Philadelphia,2207 Ontario Street,19134,Machinery Manufacturing,703365,https://www.linkedin.com/company/ptr-baler-&-compactor,Tier 2
Lyons National Bank,203,bankwithlnb.com,,New York,Lyons,35 William Street,14489,Banking,723826,https://www.linkedin.com/company/lyons-national-bank,Tier 2
Olon Ricerca Bioscience,204,olonricerca.com,,Ohio,Painesville,,,Pharmaceutical Manufacturing,47580,https://www.linkedin.com/company/olon-ricerca-bioscience,Tier 2
AIS Infrastructure,204,ais-infrastructurellc.com/,,Georgia,Carrollton,2250 Lovvorn Road,30117,Construction,3911951,https://www.linkedin.com/company/bradcoleconstruction,Tier 2
Fortune International Group,209,fortuneintlgroup.com,,Florida,,,,Real Estate,,https://www.linkedin.com/company/fortune-international-group,Tier 2
Soal Technologies Perfect Hire Guaranteed,210,soaltech.com,,Texas,Austin,8870 Business Park Drive,78759,Staffing and Recruiting,561793,https://www.linkedin.com/company/soal-technologies,Tier 2
Adrenaline Agency,216,adrenalineagency.com,,Georgia,Atlanta,3405 Piedmont Road Northeast #300,30305,Design Services,570421,https://www.linkedin.com/company/adrenalinex,Tier 2
Partnership For Maternal & Child Health of Northern New Jersey,217,partnershipmch.org,,New Jersey,Newark,50 Park Place,7102,Family Planning Centers,10963805,https://www.linkedin.com/company/partnershipmchnj,Tier 2
Canvas Health,219,canvashealth.org,,Minnesota,St Paul,7066 Stillwater Boulevard North,55128,Mental Health Care,3504837,https://www.linkedin.com/company/canvas-health,Tier 2
Marshall Gerstein & Borun,220,marshallip.com,,Illinois,Chicago,"233 South Wacker Dr, 6300 Willis Tower",60606,Law Practice,36428,https://www.linkedin.com/company/marshall-gerstein-&-borun-llp,Tier 2
"Cerris Builders, Inc.",220,cerrisbuilders.com,,Texas,Pflugerville,3712 Helios Way,78660,Construction,,https://www.linkedin.com/company/cerrisbuilders,Tier 2
Tsc Offshore,223,tscoffshore.com,,Texas,Houston,7611 Railhead Ln,77086,Oil and Gas,579581,https://www.linkedin.com/company/tsc-offshore-group,Tier 2
Primal Pet Foods,226,primalpetfoods.com,,California,Fairfield,,92612,Animal Feed Manufacturing,2303198,https://www.linkedin.com/company/primalpetfoods,Tier 2
Current Lighting Solutions,228,led.com,,Ohio,Cleveland,701 Millennium Blvd,44124-4184,Electrical Equipment Manufacturing,,https://www.linkedin.com/company/current-lighting/,Tier 2
Seanergy.ai,231,seanergy.ai,,Texas,Frisco,,75024,Software Development,,https://www.linkedin.com/company/seanergyai/,Tier 2
Hard Rock Hotel & Casino Bristol,235,hardrockhotelcasinobristol.com,,Virginia,Bristol,500 Gate City Hwy,24201,Gambling Facilities and Casinos,79101279,https://www.linkedin.com/company/hard-rock-hotel-casino-bristol,Tier 2
Lg Energy Solution Vertech,236,lgensol-vt.com,,Massachusetts,Westborough,155  FLANDERS RD,1581,Renewable Energy Semiconductor Manufacturing,86632007,https://www.linkedin.com/company/lg-energy-solution-vertech-inc1,Tier 2
Buckner Heavylift Cranes,236,bucknerheavylift.com,United States,North Carolina,Graham,4732 North Carolina 54,27253,Construction,2201784,https://www.linkedin.com/company/bucknerheavyliftcranes,Tier 2
Sun Coast Press,238,suncoastpress.com,,Florida,Port Charlotte,23170 Harbor View Road,33980,Media Production,,https://www.linkedin.com/company/suncoast-press-svc,Tier 2
Chris 180,238,christianbook.com,,Georgia,Atlanta,1960 Peabody Street,1960,Community Services,62197,https://www.linkedin.com/company/chris180,Tier 2
Argus Community,238,arguscommunity.org,,New York,Bronx,760 East 160th Street,10456,Community Services,11772881,https://www.linkedin.com/company/argus-community-inc,Tier 2
Peoples State Bank,239,bankpeoples.com,,Wisconsin,Wausau,1905 Stewart Avenue,54401,Banking,1213668,https://www.linkedin.com/company/peoples-state-bank_3,Tier 2
Mayer,239,mayerllp.com,,Texas,Dallas,750 North Saint Paul Street,75201,Law Practice,35454379,https://www.linkedin.com/company/mayer-llp,Tier 2
Spearfish School District 40-2,240,spearfish.k12.sd.us,,South Dakota,Spearfish,525 E Illinois St,,Education Administration Programs,,https://www.linkedin.com/company/sioux-falls-school-district,Tier 2
First Reliance Bank,241,firstreliance.com,,South Carolina,Florence,2170 W Palmetto St,29501,Banking,20664,https://www.linkedin.com/company/firstreliance,Tier 2
Southwest Texas Junior College,241,swtxc.edu,,Texas,,,,Education Administration Programs,,https://www.linkedin.com/school/southwest-texas-junior-college,Tier 2
Tcc Group,242,tccgrp.com,,New York,New York,31 West 27th Street,10001,Strategic Management Services,39763,https://www.linkedin.com/company/tcc-group,Tier 2
Reliable Group,246,reliablegroup.com,,New York,Hicksville,70 E Old Country Rd,11801,IT System Custom Software Development,70676,http://www.linkedin.com/company/reliable-group,Tier 2
Gentrac Guatemala,247,gentrac.com.gt,,,,,,Rubber Products Manufacturing,116399,https://www.linkedin.com/company/gentrac,Tier 2
Ventois,264,ventois.com,,Massachusetts,Shrewsbury,26 Julio Drive #Suite 201,1545,IT Services and IT Consulting,2957000,https://www.linkedin.com/company/ventois-inc,Tier 2
Scranton Counseling Center,265,scrantonscc.org,,Pennsylvania,Scranton,326 Adams Avenue,18503,Mental Health Care,6959351,https://www.linkedin.com/company/scranton-counseling-ctr,Tier 2
New Age Protection,300,new-age-inc.com,,Virginia,Springfield,,,Security Guards and Patrol Services,721637,https://www.linkedin.com/company/new-age-protection-inc.,Tier 2
Sussex Im,347,sussexim.com,,Wisconsin,-,24770 Main Street,53089,Plastics Manufacturing,1909973,https://www.linkedin.com/company/sussex-im,Tier 2
Barnsco Texas,355,barnsco.com,,Texas,Dallas,2609 Willowbrook Road,75220,Construction,2856089,https://www.linkedin.com/company/barnsco-inc-,Tier 2
SWECO,396,sweco.com,,Kentucky,Florence,,41042,Machinery Manufacturing,870840,https://www.linkedin.com/company/sweco_2,Tier 2
Ghk Capital Partners,401,ghk.com,,Connecticut,Greenwich,28 Havemeyer Place,6830,Investment Management,27212974,https://www.linkedin.com/company/ghkcapital,Tier 2
Recruitics,500,recruitics.com,,New York,New York,230 East Avenue,6855,Advertising Services,1177873,https://www.linkedin.com/company/recruitics,Tier 2
Gaper,504,gaper.io,,New York,New York,,10025,IT Services and IT Consulting,40875730,https://www.linkedin.com/company/gaper,Tier 2
"Value Logistics, INC.",537,valueloads.com,,Georgia,Smyrna,49 Brewery St,,Transportation Logistics Supply Chain and Storage,14596067,https://www.linkedin.com/company/value-logistics-inc,Tier 2
Bernie Moreno Companies,580,berniemoreno.com,,Ohio,Brook Park,,,Motor Vehicle Manufacturing,1489123,https://www.linkedin.com/company/collection-auto-group,Tier 2
Apex Oil Co,622,apexoil.com,,Missouri,St Louis,"8235 Forsyth Blvd, Ste 400",63105,Oil and Gas,6785414,https://www.linkedin.com/company/apex-oil-co,Tier 2
Babcock Center,679,babcockcenter.org,,South Carolina,West Columbia,2725 Banny Jones Avenue,29170,Community Services,22345773,https://www.linkedin.com/company/babcock-center,Tier 2
Lornamead,850,lornameadna.com,,New York,Buffalo,1359 Broadway Fl 17,10018,Chemical Manufacturing,69848,https://www.linkedin.com/company/lornamead,Tier 2
Conair,2012,conair.com,,Connecticut,Stamford,150 Milford Rd,8520,Manufacturing,13315,https://www.linkedin.com/company/conair-corporation,Tier 2
Focus Studio,1,adelaidefocus.com.au,,New Jersey,Berkeley Heights,,,Wholesale Furniture and Home Furnishings,11159191,https://www.linkedin.com/company/focus-studio,Tier 3
Digiorgio Mushroom,1,giorgiofoods.com,,Pennsylvania,Reading,,19605,Food and Beverage Manufacturing,,https://www.linkedin.com/company/giorgio-foods-inc-,Tier 3
Spelman Johnson Education Non-profit Independent School and College Athletics Executive Search,2,spelmanandjohnson.com,,Massachusetts,Easthampton,,,Staffing and Recruiting,994745,https://www.linkedin.com/company/sjg-the-spelman-&-johnson-group,Tier 3
Lionchase North America,2,lionchase.com,,District of Columbia,Washington,1300 I Street Northwest,20005,Investment Management,71265329,https://www.linkedin.com/company/lionchase-north-america,Tier 3
Dahl Automotive,3,dahlauto.com,,Wisconsin,Onalaska,712 4th Street South,54603,Retail Motor Vehicles,3135690,https://www.linkedin.com/company/dahl-automotive,Tier 3
Forex Factory,3,forexfactory.com,,Florida,Tampa,,,Capital Markets,,https://www.linkedin.com/company/forex-factory,Tier 3
Movement School,4,movementschools.org,,North Carolina,Charlotte,5249 Central Ave,28212,Primary and Secondary Education,27200701,https://www.linkedin.com/company/movement-school,Tier 3
Scag Power Equipment,5,scag.com,,Wisconsin,Mayville,,,Machinery Manufacturing,3524420,https://www.linkedin.com/company/scag-power-equipment,Tier 3
Halifax Media Group,6,halifaxmediagroup.com,,Florida,Daytona Beach,,32119-8720,Publishing,,https://www.linkedin.com/company/halifax-media-group-llc,Tier 3
BIMI,7,childers2grenada.org,,Tennessee,,,,Religious Institutions,7149844,https://www.linkedin.com/company/bimi,Tier 3
Summer Hill,9,summerhillinc.com,,District of Columbia,Hamilton,,,Investment Management,,https://www.linkedin.com/company/summer-hill,Tier 3
Orthopaedic Surgery Associates,13,ortho-surgeon.com,,Florida,Boca Raton,2828 S Seacrest Blvd. Ste. 204,33435,Medical Practices,9401697,https://www.linkedin.com/company/orthopaedic-surgery-associates-inc./,Tier 3
Grand Realty,16,grandrealty.net,,Florida,Milton,,,Real Estate,9129575,https://www.linkedin.com/company/grand-realty,Tier 3
Patriot Electric,18,patriotelectriccorp.com,,New York,Queens,,,Construction,9836530,https://www.linkedin.com/company/patriot-electric-corp,Tier 3
Vestals Catering,20,vestalscatering.com,,Texas,Dallas,601 North Haskell Ave.,75246,Hospitality,,https://www.linkedin.com/company/vestals-catering,Tier 3
Center For Inspired Teaching,21,inspiredteaching.org,,District of Columbia,Washington,200 Douglas St NE,20002,Education,,https://www.linkedin.com/company/center-for-inspired-teaching,Tier 3
Cape May County Special Services,21,cmcspecialservices.org,,New Jersey,Cape May Court House,4 Moore Road,8210,Education,,https://www.linkedin.com/company/cape-may-county-special-services,Tier 3
I.e.smart Systems,22,artsystems.com,,Texas,Houston,15200 East Hardy Road,77032,Telecommunications,558698,https://www.linkedin.com/company/iesmartsystems-l.l.c.,Tier 3
Wellness Works,22,wellnessworks.com,,Texas,,,,Wellness and Fitness Services,,https://www.linkedin.com/company/wellness-works,Tier 3
Saints Peter and Paul Parish,24,sspeterandpaul.net,,Illinois,Naperville,,,Religious Institutions,831749,https://www.linkedin.com/company/saints-peter-and-paul-parish,Tier 3
Network Science Institute,25,networkscienceinstitute.org,,Massachusetts,Boston,,,Research Services,70768846,https://www.linkedin.com/company/network-science-institute,Tier 3
Tau Beta Sigma,27,tbsigma.org,,Oklahoma,Stillwater,,,Musicians,507282,https://www.linkedin.com/company/tau-beta-sigma,Tier 3
Morning Sun Financial Services,28,morningsunfs.com,,Minnesota,Minneapolis,,,Individual and Family Services,3110442,https://www.linkedin.com/company/morning-sun-financial-services,Tier 3
Waddle Trucking,28,waddletrucking.com,,Mississippi,Tupelo,2448 McCullough Boulevard,38826,Truck Transportation,4631037,https://www.linkedin.com/company/waddle-trucking,Tier 3
Penobscot Bay Ymca,29,penbayymca.org,,Maine,Rockport,840  PO BOX,4856,Consumer Services,,https://www.linkedin.com/company/flowpodcast,Tier 3
Fic America,29,futabasangyo.com,,Illinois,Carol Stream,,60188-9422,Metalworking Machinery Manufacturing,,https://www.linkedin.com/company/futabanorthamerica,Tier 3
Christian Motorcyclists Association,30,cmausa.org,,Arkansas,Hatfield,4278 Hwy 71 S,71945,Religious Institutions,217386,https://www.linkedin.com/company/christian-motorcyclists-association,Tier 3
Precision Electrical,31,precisionelectricalco.com,,Ohio,Jackson,"2403 Sidney St., Ste. 125",15203,Appliances Electrical and Electronics Manufacturing,6132363,https://www.linkedin.com/company/precision-electrical,Tier 3
